skill
python
java
c++
sql
excel
pandas
numpy
matplotlib
power bi
machine learning
deep learning
scikit-learn
tensorflow
pytorch
nlp
transformers
hugging face
llm
rag
opencv
cnn
yolo
fastapi
flask
docker
git
github
aws
mongodb
postgresql
